instance,solver,time,val
500_200_3_00,3Cap,4.51,70671.00
500_200_3_01,3Cap,4.38,70621.00
500_200_3_02,3Cap,4.66,70605.00
500_200_3_03,3Cap,4.43,70612.00
500_200_3_04,3Cap,4.43,70595.00
500_200_3_05,3Cap,4.28,70671.00
500_200_3_06,3Cap,4.47,70640.00
500_200_3_07,3Cap,4.40,70701.00
500_200_3_08,3Cap,4.46,70615.00
500_200_3_09,3Cap,4.40,70623.00
500_200_3_10,3Cap,4.43,70703.00
500_200_3_11,3Cap,4.59,70613.00
500_200_3_12,3Cap,4.34,70605.00
500_200_3_13,3Cap,4.44,70585.00
500_200_3_14,3Cap,4.20,70665.00
500_200_3_15,3Cap,4.44,70720.00
500_200_3_16,3Cap,4.47,70606.00
500_200_3_17,3Cap,4.15,70693.00
500_200_3_18,3Cap,4.25,70623.00
500_200_3_19,3Cap,4.13,70604.00
